,result,table,_start,_stop,_time,_value,Id,_field,_measurement
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T11:00:00Z,228.68937413222125,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T11:15:00Z,244.7437867483937,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T11:30:00Z,260.6439353641144,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T11:45:00Z,281.57579847532384,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T12:00:00Z,294.54936716472463,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T12:15:00Z,284.2615529124231,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T12:30:00Z,312.5564129249382,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T12:45:00Z,306.8601566606128,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T13:00:00Z,313.0955029767975,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T13:15:00Z,302.7202632473431,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T13:30:00Z,297.6614715541532,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T13:45:00Z,288.030349610481,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T14:00:00Z,277.2470784458864,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T14:15:00Z,263.4020351487763,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T14:30:00Z,243.11854900803272,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T14:45:00Z,223.59218677767,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T15:00:00Z,209.04829475939138,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T15:15:00Z,189.213578504419,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T15:30:00Z,154.98644013562165,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T15:45:00Z,134.466696142606,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T16:00:00Z,110.63009037742353,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T16:15:00Z,85.78276546487001,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T16:30:00Z,49.289730482436255,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T16:45:00Z,45.761709397280256,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T17:00:00Z,43.67392356637674,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T17:15:00Z,34.20990468045775,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T17:30:00Z,20.24318996337786,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T17:45:00Z,13.757925092023834,3924,value,ProcessData
,,0,2024-09-14T22:00:00Z,2025-01-07T11:00:00Z,2024-10-12T18:00:00Z,6.983723425183977,3924,value,ProcessData
